problem_id,problem_title,problem_solved,category,submit_id,user_id,result,memory,time,language,code
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91561771,squidward_tentacles,런타임 에러 (ValueError),,,Python 3,"A = int(input())
B = int(input())

print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91561297,seungmin207,런타임 에러 (TypeError),,,Python 3,"a, b =map(int, input().split)
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91561246,seungmin207,틀렸습니다,,,Python 3,"a, b = input().split()
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91561167,kiheon0322,맞았습니다!!,32412,40,Python 3,"a,b =map(int,input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91561103,kiheon0322,런타임 에러 (ValueError),,,Python 3,"a, b = input()
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91560902,i89oi89o,맞았습니다!!,32412,40,Python 3,"a, b = input().split()
a = int(a)
b = int(b)
print(a + b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91560725,tomhhh,맞았습니다!!,32412,44,Python 3,"import sys
input=sys.stdin.readline

a,b=map(int,input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91560167,kdh1jkm,맞았습니다!!,32412,44,Python 3,"a, b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91560144,kdh1jkm,틀렸습니다,,,Python 3,"a, b = map(int, input().split())
print(a, b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91560066,eve_time,맞았습니다!!,32544,40,Python 3,"a, b = map(int, input().split())
print('error' if a<=0 or b>=10 else a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91559953,1000failol,런타임 에러 (ValueError),,,Python 3,"a = list(int(input()))

print(a[0] + a[1])"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91559854,1000failol,런타임 에러 (EOFError),,,Python 3,"a = input()
b = input()
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91559836,1000failol,틀렸습니다,,,Python 3,"a = input()
print(a[0] + a[1])"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91559270,namil101,런타임 에러 (TypeError),,,Python 3,"a, b = map(int, input().split)
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91559244,chan_0809,맞았습니다!!,32412,44,Python 3,"a, b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91559175,chan_0809,런타임 에러 (NameError),,,Python 3,print(A+B)
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91558770,ooooo151515,맞았습니다!!,32412,36,Python 3,"a, b = map(int, input().split())
print(a+b)
    "
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91558591,ooooo151515,맞았습니다!!,32412,40,Python 3,"a, b = map(int, input().split())
print(a + b)
"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91558561,ooooo151515,틀렸습니다,,,Python 3,"try:
    a = int(input())
    b = int(input())
    print(a + b)
except ValueError:
    print(""숫자를 입력해야 한다!!"")
"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91558551,ooooo151515,런타임 에러 (ValueError),,,Python 3,"try:
    a = int(input())
    b = int(input())
    print(a + b)
except EOFError:
    print(""입력이 예상보다 빨리 종료되었다!!"")
"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91558500,ooooo151515,런타임 에러 (EOFError),,,Python 3,"a=input()
b=input()
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91558410,ooooo151515,런타임 에러 (ValueError),,,Python 3,"a = int(input())
b = int(input())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91558300,kihywoo,틀렸습니다,,,Python 3,"A = 1
B = 2
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91558271,kihywoo,런타임 에러 (ValueError),,,Python 3,"A = int(input(""""))
B = int(input(""""))

if A >0 and B < 10:
    print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91558232,kihywoo,틀렸습니다,,,Python 3,"A = 1
B = 2
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91558211,kihywoo,런타임 에러 (ValueError),,,Python 3,"A = int(input(""""))
B = int(input(""""))

print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91557913,hojooni0322,맞았습니다!!,32412,44,Python 3,"a, b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91557339,jumaja,맞았습니다!!,32412,40,Python 3,"A, B = input().split()
a = int(A)
b = int(B)
print(a + b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91557132,ketarubot,맞았습니다!!,32412,36,Python 3,"a, b = map(int, input().split())
print(a + b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91556963,jihu,런타임 에러 (ValueError),,,Python 3,"a = int(input(""""))
b = int(input(""""))
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91556945,jihu,컴파일 에러,,,Python 3,"a = int(input(""""))
b = int(input(""""))
        print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91556712,s2ungjae,맞았습니다!!,32412,40,Python 3,"a, b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91556706,s2ungjae,틀렸습니다,,,Python 3,"def solution(num1, num2):
    anwser = 0
    
    answer = num1 + num2
    
    return answer"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91556497,movegun99,맞았습니다!!,32412,32,Python 3,"a, b= map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91555611,blue11,컴파일 에러,,,Python 3,"A = -1, B = 3
print(int(A + B))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91555588,blue11,틀렸습니다,,,Python 3,"A = 1
B = 2
print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91555159,25010627,컴파일 에러,,,Python 3,"A=1, B=2
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91555149,25010627,틀렸습니다,,,Python 3,"A=1
B=2
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91554506,young0607,맞았습니다!!,32412,40,Python 3,"a, b = map(int, input().split())
if a > 0 and b < 10:
  print(a + b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91553801,han54264854,런타임 에러 (TypeError),,,Python 3,"a,b = int(input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91553719,wjdtnqkrwjdtn,틀렸습니다,,,Python 3,"#첫째 줄에 A와 B가 주어진다. (0 < A, B < 10)
A = 10
B = 5
    
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91553622,wjdtnqkrwjdtn,틀렸습니다,,,Python 3,"#두 정수 A와 B를 입력받은 다음, A+B를 출력하는 프로그램을 작성하시오.

a = 10
b = 20
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91553081,mongkiki00,맞았습니다!!,32412,36,Python 3,"a, b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91552619,droi1209,맞았습니다!!,32412,40,Python 3,"A, B = map(int, input().split())

print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551903,tnwnsdl1234,맞았습니다!!,32412,36,Python 3,"a, b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551773,ps1520,맞았습니다!!,32412,36,Python 3,"A, B = map(int, input().split())
print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551588,yong060309,맞았습니다!!,32412,40,Python 3,"a,b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551228,changju0911,맞았습니다!!,32412,32,Python 3,"A, B = input().split()
print(int(A)+int(B))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551205,changju0911,컴파일 에러,,,Python 3,"A=int(input())
B=int(input())
pirnt(int(A+int(B))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551198,superkim0610,맞았습니다!!,32412,40,Python 3,"i = input()
a = int(i[0])
b = int(i[2])
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551182,rmrqhr17,틀렸습니다,,,Python 3,"A=1
B=2
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551109,rmrqhr17,틀렸습니다,,,Python 3,"a=1
b=2
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551100,changju0911,런타임 에러 (ValueError),,,Python 3,"A=int(input())
B=int(input())
pirnt(int(A+B))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551090,rmrqhr17,틀렸습니다,,,Python 3,"a=1
b=2
a+b"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91551011,changju0911,런타임 에러 (ValueError),,,Python 3,"A=int(input())
B=int(input())
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91550908,superkim0610,런타임 에러 (ValueError),,,Python 3,"A=int(input())
B=int(input())
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91550906,yujaeik,맞았습니다!!,32412,36,Python 3,"a, b = map(int, input().split())
print(a + b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91550884,changju0911,런타임 에러 (ValueError),,,Python 3,"A=int(input())
B=int(input())
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91550510,tsh,맞았습니다!!,32412,40,Python 3,"num1, num2 = input().split("" "")
print(int(num1) + int(num2))
"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91550400,tsh,런타임 에러 (ValueError),,,Python 3,"num1 = int(input())
num2 = int(input())
print(num1+num2)
"
